Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
t-wise Testing | Technique (Washizaki, 2024, p. 5-11) | Testing that "considers every possible combination of [some] t input" (Washizaki, 2024, p. 5-11) | All Combinations Testing (Washizaki, 2024, p. 5-11) |  | "More than one pair is derived (i.e., by including higher-level combinations)" (Washizaki, 2024, p. 5-11)
Two-Value Boundary Testing | Technique (inferred from boundary value analysis and inclusion in IEEE, 2021, p. 13) | Testing "values on the boundary and an incremental ["the smallest significant value for the data type"] distance outside the boundary of the equivalence partition" for "each boundary" (IEEE, 2021, p. 13) | Boundary Value Analysis (IEEE, 2021, p. 13) |  | "Typically adequate in most situations" (IEEE, 2021, p. 13)
UI Testing (Doğan et al., 2014, Tab. 8) | Approach |  | Web Application Testing (Doğan et al., 2014, Tab. 8; implied by Kam, 2008, p. 9) |  | 
UML Model-based Testing (Doğan et al., 2014, p. 194) | Technique? |  | Model-based Testing | UML Testing? (implied by Kam, 2008, Tab. 1) | 
Unit Testing | Level (IEEE, 2022, pp. 12, 20-22, 26-27; 2021, p. 6; 2017, p. 467; Washizaki, 2024, p. 5-6; Hamburg and Mogyorodi, 2024) | "Testing of individual hardware or software components" (IEEE, 2012, p. 8; similar in Hamburg and Mogyorodi, 2024 and Sangwan and LaPlante, 2006, p. 26) or of "individual routines and modules" (2017, p. 490) "can include consideration of basic functionality" (2022, p. 13; 2021, p. 6) | Construction Testing (Washizaki, 2024, p. 4-7), Functionality Testing, Smoke Testing (implied by IEEE, 2022, p. 13; 2021, p. 6), Automated Testing (often) (Washizaki, 2024, p. 4-14), V-Model Testing (Gerrard, 2000a, p. 9), W-Model Testing (Gerrard, 2000a, Figs. 3-5), Dynamic Testing (Gerrard, 2000a, p. 9) | Component Testing (IEEE, 2022, pp. 12-13; 2021, p. 6; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 22; Peters and Pedrycz, 2000, p. 444), Module Testing (Hamburg and Mogyorodi, 2024; Patton, 2006, p. 109; Sneed and Göschl, 2000, p. 18; OG Hetzel88), Class Testing (Sneed and Göschl, 2000, p. 18; OG Hetzel88) | "The terms module, component, and unit [sic] are often used interchangeably or defined to be subelements of one another in different ways depending upon the context" with no standardized relationship (IEEE, 2017, p. 82) but a distinction is sometimes made; for example, "components differ from classical modules for being re-used in different contexts independently of their development" (Baresi and Pezzè, 2006, p. 107). See also Engström and Petersen, 2015
Unscripted Testing | Approach | "Testing in which the tester's actions are not prescribed by written instructions in a test case" (IEEE, 2022, p. 15; 2017, p. 490; OG IEEE, 2013) | Dynamic Testing (IEEE, 2022, p. 15; 2017, p. 490) |  | 
Usability Test Script(ing) | Approach | The creation/use of "a document specifying a sequence of actions for the execution of a usability test" (Hamburg and Mogyorodi, 2024) | Usability Testing; Structured Testing (Hamburg and Mogyorodi, 2024) |  | 
Usability Testing | Type (IEEE, 2022, pp. 22, 26-27; 2021, p. 7; implied by its quality and by Firesmith, 2015, p. 53) | Testing that "evaluate[s] how easy it is for ['specified users' to use and (IEEE, 2017, p. 492; OG ISO/IEC, 2013)] learn to use the software" by testing functionality (Washizaki, 2024, p. 5-10, IEEE, 2017, p. 493), documentation, and/or recovery (Washizaki, 2024, p. 5-10), as well as how "attractive to the users" the product is (Kam, 2008, p. 48) | Non-functional Testing (Kam, 2008, p. 47; Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), System Testing, Manual Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1) | Interaction Capability Testing (ISO/IEC, 2023a), Fitness-for-Use Testing (IEEE, 2017, p. 493), Human-Computer Interaction Testing? (Washizaki, 2024, p. 5-10) | Related to acceptance testing (van Vliet, 2000, p. 439) and potentially reusability (IEEE, 2017, p. 492), but this relation may just be syntactic. See also [20] in Gerrard, 2000b, p. 22
Usability Walkthroughs | Approach | "Usability evaluation[s] in which one or more evaluators step through a scenario playing the role of a user and identifying usability problems associated with successful completion of the scenario[s]" (IEEE, 2017, p. 493; OG ISO/IEC, 2010) | Usability Testing (IEEE, 2017, p. 493), Walkthroughs |  | "Evaluators can include usability specialists, developers, [and/or] end users" (IEEE, 2017, p. 493)
Usage-based Testing | Technique (Washizaki, 2024, p. 5-15) | Testing that "usually rel[ies] on a usage model or profiles" in the context of "the actual operational environment" and "usage by the target stakeholder" (Washizaki, 2024, p. 5-15) | Online Testing? |  | May involve the development/implementation of an "operational profile" (Hamburg and Mogyorodi, 2024)
Use Case Testing | Technique (Kam, 2008, pp. 48-49) | "Testing sequences of interactions (i.e. scenarios) between the test item and actors" where "various actions are performed by the test item as a result of various triggers from the actors" (IEEE, 2021, p. 20) | Model-based Testing (IEEE, 2022, p. 13; 2021, pp. 6, 20), Scenario Testing (p. 20), Specification-based Testing (Sharma et al., 2021, Fig. 1; Kam, 2008, pp. 48-49), User Story Testing? | Sometimes spelled with a hyphen (Sharma et al., 2021, Fig. 1), Scenario Testing (Kam, 2008, p. 47), User Scenario Testing (although "an actor can be a user or another system" (IEEE, 2021, p. 20)) (Kam, 2008, p. 48) | See Hass 2008; Marchetto et al., 2008
User Acceptance Testing | Level (IEEE, 2022, p. 22; Firesmith, 2015, p. 30; inferred from acceptance testing) | "A type of acceptance testing performed to determine if intended users accept the system" (Hamburg and Mogyorodi, 2024) | Acceptance Testing (IEEE, 2022, p. 22; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 30) | UAT (Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 30) | Also mentioned by Washizaki (2024, p. 6-13)
User as Tester Testing (Firesmith, 2015, p. 39) | Practice? |  | User Testing (Firesmith, 2015, p. 39) |  | 
User Interface Navigation Testing | Approach |  | Specification-based Testing (Firesmith, 2015, p. 47), UI Testing |  | 
User Organization Testing (Firesmith, 2015, p. 37) | Practice? |  | Organization-based Testing (Firesmith, 2015, p. 37), User Testing |  | 
User Session Data Testing | Approach |  | Web Application Testing, User Session Testing, Specification-based Testing (usually), Control Flow Testing, Functional Testing (Kam, 2008, Tab. 1) |  | 
User Session Testing (Kam, 2008, Tab. 1) | Approach |  | User-based Testing? |  | 
User Story Testing | Approach | Testing "in which test conditions are the acceptance criteria of user stories" or "requirement[s] consisting of one sentence … capturing the functionality a user needs, the reason behind it, any non-functional criteria, and … acceptance criteria" (Hamburg and Mogyorodi, 2024) | Specification-based Testing (Hamburg and Mogyorodi, 2024), Requirements-based Testing, User-based Testing? |  | 
User Surveys | Approach | "Evaluation[s] whereby a representative sample of users are asked to report subjective evaluation into a questionnaire based on their experience in using a component or system" (Hamburg and Mogyorodi, 2024) | Usability Testing, User-based Testing? |  | 
User-Agent Based Testing | Approach | "Testing in which a test client is used to switch the user agent string and identify itself as a different client while executing test suites" (Hamburg and Mogyorodi, 2024) |  |  | Could be used in security testing
User-based Evaluations | Approach | "Evaluation[s] that involve[] representative users performing tasks with the system … focused on usability[,] … efficiency, effectiveness, [and/or] user satisfaction" (IEEE, 2017, p. 498; OG ISO/IEC, 2016) | Usability Testing (IEEE, 2017, p. 498), Acceptance Testing? |  | 
User-initiated Built-In Testing (Firesmith, 2015, p. 31) | Practice? |  | Built-In Testing (Firesmith, 2015, p. 31) | UBIT (Firesmith, 2015, p. 31) | 
User-session-based Testing (Doğan et al., 2014, p. 183) | Approach |  | Session-based Testing, User as Tester Testing? User Story Testing? |  | Potentially complementary to structure-based testing (Doğan et al., 2014, p. 193; OG Elbaum et al., 2005)
Validation Testing | Approach | "Test[ing] to determine whether an implemented system fulfils its specified requirements" (IEEE, 2017, p. 499; ISO/IEC, 2015) |  |  | OG definition was about a specific test, not a test approach
Verification Testing | Approach | Testing to determine whether a system fulfils "its specified requirements at a particular stage of its development" (IEEE, 2017, p. 504; ISO/IEC, 2015) |  |  | This seems to conflate the definition of "verification" with "validation"
Visual Browser Validation | Approach | Testing visually "that the appearance of [web]pages on … other browser[s] are acceptable" (Gerrard, 2000b, p. 8) | Usability Testing, Manual Testing, Static/Dynamic Testing? (Gerrard, 2000a; Tab. 2; 2000b, Tab. 1), Cross-Browser Compatibility Testing (implied by 2000b, p. 8), Web Application Testing, Visual Testing |  | 
Visual Testing | Approach | Testing of GUI objects (Hamburg and Mogyorodi, 2024; Bajammal and Mesbah, 2018, p. 193) "rel[ying] exclusively on the application's appearance" and "a visual comparison between a number of initial screenshots" (Bajammal and Mesbah, 2018, p. 193) | GUI Testing, Web Application Testing (Bajammal and Mesbah, 2018, p. 193) |  | May use "image recognition" (Hamburg and Mogyorodi, 2024) and is "highly fragile compared to DOM-based methods" (Bajammal and Mesbah, 2018, p. 193; OG [4, 5]) since "it is difficult to assess what state is the canvas in at any given moment" (p. 194). May use visual analysis (p. 194). See ISO 29119-11
V-Model Testing (Firesmith, 2015, p. 29) | Practice? | Testing that occurs alongside the phases of the waterfall model in a "layered and phased nature" (Gerrard, 2000a, p. 9) | Waterfall Testing (Washizaki, 2024, p. 10-6; OG [3]; Firesmith, 2015, p. 29), Lifecycle-based Testing (Washizaki, 2024, p. 10-5; OG [2, 3, 10]), W-Model Testing? (implied by Gerrard, 2000a, p. 9) |  | See also Washizaki (2024, p. 10-6; OG [3])
Volume Testing | Type (implied by Firesmith, 2015, p. 54) | Testing to assess "the SUT's internal storage limitations and its ability to exchange data and information" (Washizaki, 2024, p. 5-9) or "process specified volumes of data (usually at or near maximum specified capacity)" (IEEE, 2017, p. 508; OG 2013; similar in Kam, 2008, p. 49) | Performance Efficiency Testing (IEEE, 2017, p. 508; OG 2013), Non-functional Testing (Washizaki, 2024, p. 5-9), Capacity Testing (Firesmith, 2015, p. 54), Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5) |  | 
Walkthroughs | Technique? (IEEE, 2017, p. 509) | Evaluations "in which a designer or programmer leads members of the development team and other interested parties through a segment of documentation or code, and the participants ask questions and make comments about possible errors, violation of development standards, and other problems" (IEEE, 2017, p. 508; similar in Hamburg and Mogyorodi, 2024) | Static Analysis (IEEE, 2017, p. 508), Formal Reviews, Reviews (Hamburg and Mogyorodi, 2024) | Structured Walkthroughs (Hamburg and Mogyorodi, 2024) | Sometimes spelled with a hyphen ("walk-through"; IEEE, 2017, pp. 133, 439, 508). See ISO 20246
Waterfall Testing | Practice? | Testing performed in the context of the waterfall model; i.e., after implementation but before installation and checkout, either strictly sequentially (Washizaki, 2024, p. 10-5) or "possibly with overlap but with little or no iteration" (IEEE, 2017, p. 509) | Lifecycle-based Testing (Washizaki, 2024, p. 10-5; OG [2, 3, 10]; Firesmith, 2015, p. 29) |  | 
Web (Application) Testing (WAT) (Doğan et al., 2014; Choudhary et al., 2010; Kam, 2008) | Approach | Testing of "an application that is accessed via a web browser using the Hypertext Transfer Protocol (HTTP) over a network such as the Internet or intranet" (Kam, 2008, p. 1) | Domain-Specific Testing? | Rich Internet Applications Testing? (implied by Doğan et al., 2014, p. 176; OG Amalfitano et al., 2010) | Difficult due to many factors (e.g., asynchronicity, heterogeneity, nondeterminism) (Doğan et al., 2014, pp. 174-15) and is often overlooked (Kam, 2008, p. 7; OG [12]). About 70% of websites in 2003 had defects (Doğan et al., 2014, p. 174; OG BIG-SF)
WebApp Slicing | Approach |  | Web Application Testing, Slicing, Structure-based Testing, Data Flow Testing, Functional Testing (Kam, 2008, Tab. 1) |  | 
W-Model Testing | Practice? | The combination of "static testing of early document or code deliverables and dynamic test stages of software deliverables" (Gerrard, 2000a, p. 9) | Incremental Testing?, Continuous Testing? | Since only dynamic testing is considered for this research, the in-scope part of W-model testing is equivalent to V-model testing | 
 |  |  |  |  | 
 |  |  |  |  | See also the ISO/IEC/IEEE 29119 series (especially 29119-4); 29119-2 provides more information on test processes
 |  |  |  |  | See also ISO/IEC 2382:2015, Information technology -— Vocabulary
 |  |  |  |  | Compare ISO/IEC TR 19759:2016 to SWEBOK
 |  |  |  |  | Investigate convertibility/functional size measurement (IEEE, 2017, p. 103)
